,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Intern,0.22375296,0.055633653,-0.061658103,0.066167444,0.010492789,-0.008940439,0.041825596,0.024488846,0.09593821,-0.06575871,-0.016174931,0.03777044,-0.039182797,-0.052490544,0.0012782759,0.0024480547
Student Assistant,-0.018175825,0.05815809,-0.20696415,-0.07736472,0.009328324,-0.011314989,0.023827862,0.0057399743,-0.032539427,-0.04496849,0.08584547,0.038158927,-0.04864943,0.0025158792,-0.0068452605,-0.007862153
Volunteer,0.20921408,0.057438694,-0.07381166,0.059423916,0.010495266,-0.008483016,0.042469915,0.024434023,0.08507919,-0.06619091,-0.011213131,0.038700268,-0.040753033,-0.048161287,0.0014623052,0.000922651
Camp Counselor,-0.021931916,0.06671865,-0.20737118,-0.043407906,0.0078005437,-0.002748004,0.039676297,0.014906073,-0.06496321,-0.055288967,0.05747383,0.040996693,-0.050621107,0.011736077,0.0027643035,-0.01626919
Babysitter,-0.26523685,-0.06132982,0.13155513,0.016952755,-0.012654737,0.030173631,-0.03118088,-0.008506828,-0.18578903,0.07071842,-0.05041634,-0.04347681,0.052069154,0.06906793,0.014145342,-0.012534016
Dog Walker,0.1401231,0.057368703,-0.100317806,0.05226172,0.006703931,-0.000781626,0.04893453,0.026114862,0.025722083,-0.06376835,-0.016891936,0.035519708,-0.038634397,-0.02111739,0.008854947,-0.010641771
Lawn Mower,-0.1477868,-0.09097895,0.10238389,-0.010413087,-0.03039908,0.029226005,-0.015272931,-0.0040535373,-0.07072844,0.06849407,-0.08920728,-0.07131386,0.07615721,0.08612057,0.028047007,-0.031148942
House Cleaner,0.048502054,0.06420956,-0.15790272,0.024367785,0.004523118,0.0051776012,0.055190623,0.026775386,-0.047087193,-0.06443171,-0.0018212582,0.037568673,-0.043274384,0.010937255,0.01368517,-0.02276283
Farm Hand,0.015045587,0.035862584,-0.11188241,0.030234315,-0.00455994,0.014433276,0.051484954,0.02684966,-0.05798769,-0.04461701,-0.035832215,0.015762571,-0.019098548,0.034323394,0.022706198,-0.031011136
Newspaper Delivery,0.050204627,0.04531753,-0.1377353,0.0056040687,0.00067708816,0.0034545339,0.044529833,0.02140104,-0.017877884,-0.049719967,0.00040413195,0.024677757,-0.030265192,0.012850931,0.012200816,-0.020957245
Fast Food Worker,-0.0524128,0.038776513,-0.13799874,0.02809082,-0.007402186,0.022269497,0.05990943,0.029118776,-0.121817574,-0.044795524,-0.044307414,0.014826406,-0.018831288,0.059507973,0.03036215,-0.04250171
Cashier,-0.14699951,0.015475711,-0.14915289,-0.0012653405,-0.01706601,0.02977895,0.053131346,0.019956153,-0.17650396,-0.021236122,-0.052350607,-0.0056583392,0.00037036938,0.09428745,0.037682515,-0.05459098
Retail Sales Associate,0.015597684,0.051425878,-0.21225275,-0.087485135,0.0066902423,-0.014514042,0.02232034,0.00342037,0.005134614,-0.04382053,0.087240174,0.033029478,-0.04469483,0.0023689277,-0.0076930164,-0.009014625
Barista,-0.15309657,0.011842658,-0.15904967,0.01435934,-0.02327212,0.037068717,0.06615989,0.022986053,-0.1925361,-0.023438815,-0.087819606,-0.013449324,0.007715136,0.10919519,0.049005836,-0.06757888
Waiter/Waitress,-0.15808845,0.0102258185,-0.14824487,0.0031860243,-0.020375185,0.03305934,0.05611567,0.019306075,-0.18618152,-0.018226102,-0.067559026,-0.011485383,0.00614242,0.102552906,0.042375974,-0.06002704
Dishwasher,-0.2066516,-0.052249983,-0.018583404,-0.031673193,-0.025742646,0.029042818,0.004308387,-0.003192857,-0.1490556,0.04263331,-0.05967732,-0.047904145,0.04774724,0.09993835,0.030121356,-0.04212788
Janitor,-0.16297328,0.011803716,-0.15178145,0.015750702,-0.022516374,0.03867858,0.06567602,0.024891235,-0.19895895,-0.022847105,-0.086656705,-0.012586741,0.0077426126,0.11162998,0.04892913,-0.06701352
Taxi Driver,-0.124754004,0.034546245,-0.15555964,0.002111946,-0.009045999,0.024877336,0.054195832,0.024761274,-0.16135794,-0.034987688,-0.028413247,0.010917719,-0.016189726,0.07705046,0.030423434,-0.045435578
Library Assistant,-0.10124108,0.041784633,-0.20360844,-0.09244786,0.0022255713,-0.0015116087,0.022317363,0.005236305,-0.08415911,-0.029667454,0.07539119,0.024168156,-0.034581613,0.03659529,0.000982025,-0.01896332
Hotel Front Desk Clerk,-0.07345449,0.047461893,-0.19085258,-0.0156117,-0.0038148991,0.013660565,0.051181935,0.01923083,-0.1218901,-0.04478939,0.00044341764,0.021741958,-0.029405965,0.052709267,0.020995412,-0.036967672
Administrative Assistant,-0.07653527,0.043973166,-0.22517686,-0.13216469,0.006229587,-0.013518314,0.009789946,-0.002595773,-0.03862228,-0.028540974,0.11799881,0.029027913,-0.041746337,0.019441746,-0.011257067,-0.008662182
Bank Teller,-0.050495982,0.04091807,-0.14715908,0.010400506,-0.005032827,0.017142294,0.052568976,0.02441662,-0.10740986,-0.043257844,-0.021947946,0.017686654,-0.022771843,0.050630037,0.024087034,-0.03630011
Customer Service Representative,-0.016776122,0.05968773,-0.24240983,-0.09540017,0.007383381,-0.013124834,0.026433028,0.0035232024,-0.027551636,-0.04772882,0.09558572,0.0377396,-0.050656497,0.0105336625,-0.0065385206,-0.012737381
Security Guard,-0.06896832,0.054283194,-0.18874158,-0.020089904,0.00021805413,0.0106353015,0.048013065,0.019869672,-0.11506417,-0.047833286,0.016752474,0.028543878,-0.036206484,0.04235175,0.016093541,-0.030668307
School Bus Driver,-0.119783804,0.028726492,-0.14317046,0.0127945915,-0.011969877,0.028463403,0.058410037,0.0273972,-0.16101496,-0.03389793,-0.047542132,0.0057114875,-0.010049623,0.08322691,0.035265334,-0.050036926
Home Health Aide,-0.16526276,0.02174138,-0.17239186,-0.11737405,-0.00035909726,-0.0018694641,0.004959333,-0.005741699,-0.09740408,-0.006130837,0.08655171,0.011328853,-0.021725366,0.046878166,-0.002406961,-0.015472609
Data Entry Clerk,0.02128875,0.053904515,-0.2032027,-0.06765559,0.0072201383,-0.013212885,0.024323525,0.0028381716,-0.0048017628,-0.04528466,0.0753676,0.03441516,-0.044820923,-0.0010995237,-0.0059949965,-0.008878048
Receptionist,0.16095567,0.060454875,-0.101429485,0.048180785,0.009048326,-0.00502304,0.045976512,0.02433284,0.044283893,-0.06600967,-0.0067265583,0.039047334,-0.04229448,-0.03240284,0.0046572885,-0.005459931
Mail Carrier,-0.092972964,0.0057204077,-0.09672894,0.007906826,-0.015551666,0.026268588,0.044726398,0.022026747,-0.11816402,-0.016946545,-0.054346688,-0.008807415,0.0059667192,0.0775357,0.032780398,-0.04489507
Lifeguard,-0.07723496,0.07270782,-0.21702658,-0.029629694,0.0067047523,0.0062924367,0.047858655,0.019902987,-0.12683122,-0.057466343,0.045662515,0.0429137,-0.052040637,0.030537385,0.009813584,-0.02444222
Office Manager,-0.00441856,0.060015097,-0.21836708,-0.07491087,0.008165565,-0.010194264,0.02898405,0.008489891,-0.02732257,-0.049593918,0.08102251,0.038435575,-0.049465217,0.0065290877,-0.0045493683,-0.0116133625
Medical Assistant,-0.15291277,0.020626137,-0.15126012,-0.1303926,0.0053153387,-0.008897576,-0.011420666,-0.011317172,-0.0777624,0.00085269316,0.113164335,0.015519851,-0.024785142,0.025729656,-0.013826606,-0.0018803128
Maintenance Worker,-0.036547482,-0.0018029229,-0.0741661,-0.022021888,-0.011099811,0.011893735,0.024021398,0.0123009365,-0.038467232,-0.009335143,-0.019600322,-0.008615456,0.0053656353,0.046206385,0.01731097,-0.026767941
Delivery Driver,-0.16076146,4.4391443e-05,-0.10427057,0.0019197033,-0.018951962,0.03255841,0.045298126,0.020404743,-0.17102526,-0.008714576,-0.060821988,-0.014774193,0.011717736,0.09974649,0.03799492,-0.05288469
Call Center Agent,0.053201735,0.06678891,-0.20438005,-0.04387561,0.009785189,-0.011733091,0.035504267,0.011397706,-0.001556585,-0.05933827,0.064937964,0.043171607,-0.053229794,-0.0077961003,-0.0038239162,-0.009568623
Real Estate Agent,0.16183974,-0.060388513,0.13390182,0.053988073,-0.020061174,0.00818938,0.0016204902,0.010909444,0.14819296,0.020461138,-0.09443267,-0.045594968,0.05101216,0.004537376,0.016627751,-0.008246338
Teacher's Aide,-0.18450354,-0.014929013,-0.0744861,0.010924783,-0.023455521,0.038583525,0.043354854,0.019414645,-0.18297084,0.002916693,-0.085907094,-0.026959803,0.025563082,0.10922359,0.043451466,-0.05707921
Cable Installer,-0.122240506,0.0021058558,-0.14107747,-0.07647282,-0.008397021,0.0016505447,0.0051301247,-0.012713124,-0.08921103,0.0046437173,0.03320981,-0.005777292,-0.001511764,0.048268687,0.0066914926,-0.022897853
Warehouse Worker,-0.071223326,0.02557667,-0.12362008,0.014891225,-0.010393626,0.023298051,0.052616697,0.026137488,-0.118775934,-0.033393685,-0.04403273,0.005754783,-0.009451152,0.06676763,0.03035033,-0.042806607
Painter,0.22725512,0.03790142,-0.023245005,0.07174266,0.0062622773,-0.0063259737,0.03654659,0.02320542,0.109994076,-0.053644154,-0.035259474,0.02513128,-0.02492238,-0.04967412,0.003968823,0.001990339
Licensed Practical Nurse,-0.17583582,-0.014190956,-0.08269991,-0.11220583,-0.005477693,-0.0034980166,-0.017597424,-0.019612247,-0.07377074,0.024895862,0.06550083,-0.011281466,0.004474434,0.04444762,-0.0048737056,-0.008118749
Police Officer,-0.08832745,0.042023726,-0.17076516,-0.027441459,-0.0027913803,0.012120456,0.042597685,0.017903434,-0.11370225,-0.037619486,0.014182386,0.019912217,-0.027196094,0.050651677,0.01698755,-0.03158462
Firefighter,-0.19071242,-0.02689469,-0.036716543,-0.026901942,-0.017062696,0.025849821,0.010193684,0.006033438,-0.14735484,0.023805808,-0.032715976,-0.027408022,0.026435843,0.08641096,0.023940118,-0.035186578
Truck Driver,-0.08790571,0.03129692,-0.13800716,0.01752755,-0.010084482,0.02481972,0.056521848,0.026366469,-0.13955271,-0.03648494,-0.044171415,0.0085720625,-0.012814577,0.0708941,0.03208532,-0.0453868
Paralegal,-0.054833278,0.046468906,-0.18924615,-0.10661085,0.0104122665,-0.018480232,0.004047481,-0.009283203,-0.028762054,-0.026566379,0.110932216,0.032487866,-0.04312159,-0.0056389743,-0.015732367,0.0020410605
Graphic Designer,0.10214142,-0.007989834,-0.015694292,-0.006286729,-0.005805187,-0.0018686767,0.011459343,0.008443276,0.081342846,-0.010402012,-0.020253893,-0.007683485,0.0065695066,-0.006260825,0.0050838864,-0.0062094904
Reporter,0.22952802,0.04914713,-0.046160653,0.071277626,0.008700143,-0.007482601,0.04092568,0.024933752,0.10328798,-0.06215481,-0.025391357,0.033039756,-0.033696584,-0.050752647,0.0028648765,0.0017457628
Electrician,-0.015357951,-0.08499393,0.20012146,0.0062959404,-0.013035306,0.00707667,-0.046929672,-0.011826719,0.059597492,0.06908795,-0.048289698,-0.053797103,0.06307489,0.005856382,-0.0012486029,0.0112648215
Plumber,0.007380084,-0.033332657,0.012973617,0.005515037,-0.018175114,0.01620818,0.016822143,0.013227538,0.010266437,0.008723853,-0.063239574,-0.0303738,0.031191519,0.045240678,0.02233542,-0.026028205
Welder,0.20442452,0.06443541,-0.09168899,0.056222793,0.011959464,-0.009649943,0.044261076,0.02404124,0.07662461,-0.07014921,-0.0031492522,0.04329117,-0.04633768,-0.049401954,0.0005217111,0.0008945935
