,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Intern,0.009566011,0.004810944,0.0070743994,0.0002085369,-0.004887777,0.0073492895,0.03856303,0.06910192,-0.0069822054,-0.08959676,0.0049284007,-0.0016407749,-0.021107486,-0.09908069,-0.16092207,0.1030773
Student Assistant,-0.0006049703,0.002547554,-0.0024473702,-0.008064176,-0.0022723144,0.0005353521,0.0052302703,-0.1396785,0.0024581505,-0.15759428,0.008494524,0.005436294,0.059133183,0.0022795445,0.06305063,-0.03586544
Volunteer,0.00900012,0.004690984,0.0065787896,-0.00033860398,-0.004755719,0.006960148,0.036751837,0.057305485,-0.0071732136,-0.094489515,0.0051539326,-0.0014112282,-0.016279234,-0.09347689,-0.14880371,0.09557887
Camp Counselor,-0.0009770679,0.0008878819,-0.0039154906,-0.0025019762,0.00021379038,0.00038859434,0.0050553223,-0.1263057,-0.034712,-0.14334612,0.004746555,0.0102410875,0.07989027,-0.014586101,0.06852782,-0.03032224
Babysitter,-0.009496706,-0.011953439,-0.012340909,0.027746363,0.015251508,-0.00739347,-0.038401116,-0.055949558,-0.15486042,0.15278853,-0.019973401,0.034804106,0.11860139,0.005201773,0.18282215,-0.07446498
Dog Walker,0.005745131,0.0025096189,0.002581343,0.002423069,-0.0017966639,0.0047118617,0.025583973,0.015389257,-0.0374768,-0.090187386,0.0027264075,0.004198266,0.021569261,-0.07601716,-0.07951415,0.059717994
Lawn Mower,-0.0064908476,-0.010328751,-0.008940023,0.02591203,0.013090163,-0.005335473,-0.028446615,-0.004226947,-0.13860212,0.15433344,-0.01841052,0.028425265,0.08730711,-0.014167105,0.11581054,-0.03783851
House Cleaner,0.0020118542,0.0009253876,-0.0020939775,0.0025496269,0.0005794309,0.0023986257,0.014433803,-0.05596602,-0.0639238,-0.12015451,0.002224549,0.00917504,0.0704775,-0.05216318,0.007383909,0.012398884
Farm Hand,0.0010802377,-0.0015852851,-0.0043618497,0.010160362,0.0039726174,0.0016058726,0.009688777,-0.039314847,-0.10019647,-0.07064497,-0.0029454299,0.016756559,0.086615026,-0.062292073,0.026018018,0.010539011
Newspaper Delivery,0.002635973,0.0016735154,-0.0017255853,0.0011602086,-0.00014084784,0.002792903,0.016454082,-0.05352183,-0.049415406,-0.12303278,0.0033718424,0.0085413875,0.059855893,-0.052922226,0.00027136918,0.014215736
