,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Intern,0.13910313,-0.022981824,0.08565449,-0.090495944,-0.09720775,0.040851258,-0.03614739,-0.05959731,0.023306785,-0.10253626,0.038134355,0.045561146,0.06739188,-0.01639362,0.0023272499,-0.12897494
Student Assistant,-0.11339335,-0.005627313,-0.044517078,-0.04499287,-0.028325956,-0.11092614,0.011108234,0.010776282,0.019219521,-0.107756704,0.046785127,-0.071680754,0.036787838,0.0013543064,0.002957746,-0.14436136
Volunteer,0.12397973,-0.022071777,0.077366605,-0.087916106,-0.09244321,0.030432478,-0.03312574,-0.05574491,0.023447378,-0.10362795,0.040215887,0.037291598,0.06601443,-0.0152387945,0.002248713,-0.13241307
Camp Counselor,-0.09506144,-0.011999041,-0.04759311,-0.03918536,-0.012783922,-0.10549201,0.009125363,-0.00155196,0.024385834,-0.104688935,0.062121764,-0.0814941,0.040971395,0.010217074,0.0011093351,-0.15630223
Babysitter,-0.052886132,-0.012810715,-0.08386001,0.08449927,0.13115999,-0.005466672,0.018363763,-0.01553109,0.006204527,0.08613116,0.026569957,-0.08340143,-0.027986694,0.061247848,-0.006788116,0.05990708
Dog Walker,0.0765118,-0.019375514,0.044389468,-0.06327615,-0.05216782,-0.0039832224,-0.01989247,-0.042089354,0.023512492,-0.08691377,0.05515902,0.0006969125,0.054585464,-0.007026738,0.000536955,-0.1341779
Lawn Mower,-0.010227763,-0.012989773,-0.058121275,0.07480424,0.11579766,0.018937571,0.011587261,-0.02548303,0.0056737396,0.09393633,0.021614008,-0.059074827,-0.024431182,0.055391163,-0.0074198972,0.06789833
House Cleaner,0.0013599164,-0.015865978,0.0010893685,-0.044948734,-0.017937113,-0.060267475,-0.0034951358,-0.021648271,0.025075661,-0.09044517,0.075475566,-0.047402475,0.04699928,-0.0006231664,-5.979043e-05,-0.15876746
Farm Hand,0.00025952826,-0.016122555,-0.011769814,-0.017393276,0.020332944,-0.05115734,0.0013940273,-0.02638827,0.022869598,-0.049513873,0.07448896,-0.058127016,0.032833938,0.014028067,-0.0023663344,-0.120382324
Newspaper Delivery,0.0089620305,-0.017236678,0.00034566567,-0.035269205,-0.0036383104,-0.048062455,-0.0037717093,-0.03060769,0.024394257,-0.07080644,0.071191944,-0.047170088,0.042104878,0.008684874,-0.0008921897,-0.136074
Fast Food Worker,-0.03880829,-0.014381104,-0.03996658,0.0031762929,0.05087229,-0.074577965,0.011400381,-0.014779681,0.02242275,-0.035251208,0.082444444,-0.085392,0.022916302,0.021563571,-0.0035484796,-0.11543569
Cashier,-0.12925757,-0.00668651,-0.08669442,0.024381246,0.07528671,-0.118621156,0.029209191,0.0059457663,0.016322577,-0.02168291,0.06973267,-0.12073017,0.0048769815,0.03539262,-0.0033016813,-0.088974714
