,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Intern,-0.10997448,0.11445375,-0.04926114,0.1053451,-0.0038400474,-0.0061280536,-0.021155642,0.08741999,-0.04222268,0.033755276,0.11149288,0.03633796,-0.092386805,0.08654291,0.094591215,-0.05204031
Student Assistant,0.06860895,0.013230173,-0.049700826,0.06621043,-0.0025127537,-0.08882945,-0.044734437,-0.0633458,0.0937376,-0.052333117,0.057027273,0.0066484543,-0.16904928,-0.029498791,0.010156946,-0.031561796
Volunteer,-0.09755939,0.108091675,-0.049734727,0.10520031,-0.0023964655,-0.011641637,-0.022450857,0.07853198,-0.034402322,0.03080875,0.11008304,0.03598309,-0.09596418,0.08168209,0.0926813,-0.051726956
Camp Counselor,0.07169142,0.007855706,-0.053236365,0.08953041,0.013485761,-0.08793003,-0.03999798,-0.047611635,0.07433049,-0.018868329,0.07899217,0.025129672,-0.14111225,0.006006031,0.052314837,-0.04197593
Babysitter,0.03326128,-0.1251604,0.041245654,-0.065167755,0.031257074,0.020209663,0.039382912,0.026275087,-0.025112517,0.047630142,-0.040161368,0.014133679,0.181417,0.017284263,0.010865713,0.031016001
Dog Walker,-0.026316809,0.06811571,-0.050122205,0.11464035,0.011762109,-0.033963274,-0.024039567,0.040497497,-0.016769765,0.03859136,0.10691571,0.042069152,-0.086143084,0.07421733,0.1034753,-0.053864807
Lawn Mower,-0.0042231143,-0.09950429,0.037880555,-0.05665269,0.026896961,0.03219472,0.03982952,0.056165654,-0.047330786,0.054369446,-0.028455421,0.01730592,0.17919393,0.03310705,0.021097062,0.026129255
House Cleaner,0.063405305,0.011054327,-0.04715042,0.113680385,0.028503222,-0.06366576,-0.02553879,-0.012399105,0.019929664,0.039358087,0.09421604,0.045120087,-0.073391505,0.05458832,0.104143865,-0.05089939
Farm Hand,0.041969683,-0.020765843,-0.026639903,0.07475511,0.03314268,-0.038616147,-0.0071115983,0.012556877,-0.0058314144,0.052511543,0.070088655,0.043994367,0.00083467166,0.061451476,0.09520699,-0.03393201
Newspaper Delivery,0.030206632,0.0058503863,-0.03849599,0.08821198,0.024380129,-0.048920766,-0.018160785,0.010005524,0.011018626,0.03443496,0.082771115,0.040880628,-0.04877734,0.053961754,0.09031716,-0.04094469
Fast Food Worker,0.1025737,-0.056395773,-0.025552856,0.07899507,0.04429652,-0.05552431,-0.007872694,-0.02119029,0.0070774825,0.0578817,0.06322154,0.047347534,0.01112061,0.052458722,0.10005715,-0.03407435
Cashier,0.13922353,-0.10537389,-0.008778801,0.03346198,0.04290402,-0.057416588,-0.0018432089,-0.05170863,0.028085643,0.03491803,0.02182512,0.03247874,0.038440317,0.014026092,0.05745012,-0.013021781
Retail Sales Associate,0.056863476,0.03184843,-0.059117965,0.08981526,-0.0014063698,-0.09372121,-0.04841342,-0.04597642,0.09135547,-0.04340094,0.08237846,0.016584605,-0.18352325,-0.011988592,0.033918824,-0.042109873
Barista,0.1667923,-0.12648292,0.008573148,-0.025151169,0.028060647,-0.05197477,-0.0011246485,-0.08620013,0.049175832,-0.016249105,-0.032557297,0.0011138055,0.033709176,-0.046779986,-0.018268894,0.013641352
Waiter/Waitress,0.15266006,-0.11142327,-0.004316884,0.018427378,0.039244946,-0.0579819,-0.0024375715,-0.06650642,0.03539013,0.019458659,0.0059182253,0.023265611,0.0340318,-0.0051373495,0.035627004,-0.0058607957
Dishwasher,0.0980293,-0.12161087,0.02780993,-0.021431169,0.036355395,-0.0052927523,0.026928453,-0.01228485,-0.014024015,0.05457554,-0.026775239,0.020011397,0.14301203,0.01334988,0.031773705,0.014930467
Janitor,0.16947514,-0.1286363,0.0034809639,-0.002976615,0.036978114,-0.056963414,-0.00021956592,-0.08124006,0.043198436,0.006473312,-0.014268111,0.013984386,0.04239492,-0.024255643,0.012482852,0.0042016455
Taxi Driver,0.10069063,-0.0776864,-0.019278118,0.054377202,0.043385215,-0.056458484,-0.0054393266,-0.028476736,0.019434895,0.04389665,0.047857434,0.040990833,0.020610964,0.039468605,0.08000247,-0.024217814
Library Assistant,0.094253115,-0.058885854,-0.022693986,0.020622017,0.009632903,-0.07325702,-0.023223797,-0.060226526,0.0822503,-0.03319771,0.018807918,0.006748661,-0.06991203,-0.032290652,0.0008937868,-0.009831551
Hotel Front Desk Clerk,0.113027476,-0.050331187,-0.032720495,0.06893388,0.02956608,-0.07622703,-0.021879194,-0.050877534,0.049518444,0.011774957,0.05460095,0.031517167,-0.052671257,0.01264594,0.061521117,-0.030202681
Administrative Assistant,0.1133356,-0.050163265,-0.029570177,0.012133111,-0.0060839746,-0.093416534,-0.03785715,-0.09202573,0.123377375,-0.07873005,0.008851116,-0.010254033,-0.13343415,-0.07581274,-0.03895824,-0.0058657024
Bank Teller,0.07348387,-0.035007916,-0.030720405,0.07491629,0.03325096,-0.056135148,-0.013981577,-0.015325565,0.016850132,0.036990635,0.06618907,0.040501554,-0.023182692,0.043370213,0.08426383,-0.0340184
Customer Service Representative,0.10186093,0.00758937,-0.060514856,0.091918334,0.005381309,-0.11301828,-0.052296802,-0.078513704,0.114024185,-0.049420316,0.077865,0.016665941,-0.19144487,-0.02543944,0.031442188,-0.041915663
Security Guard,0.10314349,-0.03911201,-0.03594409,0.07136249,0.028113555,-0.0767344,-0.024312811,-0.04894255,0.053998206,0.0077606146,0.0592308,0.030790446,-0.06651183,0.012991962,0.060428414,-0.032043066
School Bus Driver,0.11102764,-0.08791072,-0.014964155,0.050408717,0.04638794,-0.05375313,-0.0016635628,-0.029963113,0.014740685,0.050191175,0.04277079,0.041814703,0.037745632,0.040072203,0.08144723,-0.021777978
Home Health Aide,0.06105214,-0.114695564,0.01876546,-0.0757217,0.0024271715,-0.029505571,0.0047861375,-0.04207605,0.060600344,-0.045354795,-0.051243562,-0.016361922,0.035015836,-0.058488905,-0.061565865,0.032340243
Data Entry Clerk,0.07969185,0.030559601,-0.05577014,0.1149739,0.011900285,-0.08661742,-0.041277636,-0.048324138,0.06722413,-0.004225289,0.08852212,0.028499851,-0.14842926,0.014184289,0.06939723,-0.049992364
Receptionist,-0.058748994,0.077351004,-0.04653701,0.09922848,0.004923256,-0.024071394,-0.021866525,0.054289486,-0.018070381,0.02933955,0.10097244,0.036383145,-0.08602393,0.071151085,0.08949822,-0.04815934
Mail Carrier,0.07680777,-0.07398059,-0.009507392,0.041091707,0.041232344,-0.036528718,0.004068126,-0.0040195715,-0.00026944434,0.05394628,0.039632488,0.04011191,0.05439433,0.046091124,0.07844684,-0.017797623
Lifeguard,0.12242331,-0.021865869,-0.052067153,0.09283152,0.025546081,-0.101340376,-0.03963015,-0.07366091,0.08436984,-0.012891563,0.0751359,0.029422382,-0.1296604,0.0012435257,0.058756687,-0.04199067
Office Manager,0.07129403,0.009617767,-0.052281357,0.0801326,0.004696795,-0.09152469,-0.04301605,-0.051378656,0.08958609,-0.035894904,0.07147371,0.017341027,-0.15641373,-0.012240408,0.03364399,-0.03729984
Medical Assistant,0.11517486,-0.108508475,0.0031060856,-0.056847285,-0.0052205087,-0.061555907,-0.014801102,-0.0858445,0.10323398,-0.076602936,-0.047131088,-0.023551304,-0.037050012,-0.09370035,-0.07772882,0.024484403
Maintenance Worker,0.008649195,-0.03388471,-0.009712543,0.021456894,0.017529923,-0.020085411,0.001025283,0.025355592,-0.00010662907,0.025195893,0.034502935,0.024997722,0.020341447,0.03268749,0.045677584,-0.0113248695
Delivery Driver,0.12075699,-0.10699118,-0.002437179,0.033736445,0.04849385,-0.042515364,0.0077070408,-0.02929054,0.0038196596,0.05928701,0.024089845,0.03947862,0.07686361,0.036154862,0.0750993,-0.012683137
Call Center Agent,0.064533465,0.045009118,-0.06568417,0.1257971,0.011272253,-0.09200562,-0.047274347,-0.039239112,0.067636795,-0.008517185,0.10564591,0.032631848,-0.17201434,0.021625,0.07710311,-0.05713512
Real Estate Agent,-0.19688362,0.07467389,-0.0030009595,0.005647701,-0.014253385,0.064345956,0.01709191,0.16261375,-0.10490139,0.04080085,0.04997745,0.02042096,0.04704483,0.0854496,0.04681479,-0.009495037
Teacher's Aide,0.13141339,-0.13794675,0.018338725,-0.014412787,0.04605247,-0.0294256,0.018489188,-0.042461816,0.004659459,0.043716487,-0.01669091,0.02296568,0.11485649,0.008924937,0.0343014,0.009984862
Cable Installer,0.13310178,-0.056604654,-0.008465301,0.06297762,0.032616913,-0.04521621,-0.002339457,-0.04671537,0.020476807,0.050508145,0.02477377,0.02880754,0.023237748,0.018796904,0.068075195,-0.020181214
Warehouse Worker,0.08347498,-0.061248146,-0.020493466,0.06177085,0.041020624,-0.04852263,-0.0041365772,-0.009669788,0.0081453845,0.052124653,0.05590819,0.0440384,0.022633553,0.049423277,0.089028865,-0.02753377
Painter,-0.13981847,0.10636791,-0.037319474,0.07986159,-0.005778837,0.013669741,-0.010465735,0.11140432,-0.060369525,0.037515227,0.0978403,0.033231143,-0.05418654,0.09043845,0.08476178,-0.041305527
Licensed Practical Nurse,-0.019122563,-0.11200361,0.040699106,-0.12378572,-0.0057003284,0.014629495,0.024973787,0.0108728325,0.019845348,-0.038841758,-0.0735906,-0.023671063,0.102019824,-0.04635281,-0.08107198,0.051719237
Police Officer,0.080184296,-0.050331406,-0.023934586,0.047413055,0.027304549,-0.059978038,-0.0143820625,-0.03433797,0.03898031,0.011883513,0.043986823,0.027326863,-0.029717477,0.015539897,0.050911248,-0.021606775
Firefighter,0.053877126,-0.10044767,0.015057669,-0.01966426,0.030164402,-0.013379906,0.01787331,-0.00027001102,-0.0013400029,0.0345445,-0.007463122,0.020426953,0.09898982,0.01704819,0.028221127,0.009616031
Truck Driver,0.11169557,-0.07148519,-0.020121612,0.062999286,0.042842124,-0.055285573,-0.0061422205,-0.030035999,0.014719322,0.049299225,0.04894668,0.041774232,0.018956155,0.03951779,0.084494136,-0.027013527
Paralegal,0.07798044,0.032784447,-0.060150325,0.06339612,-0.014276497,-0.10887737,-0.06016432,-0.10169524,0.122634225,-0.09576083,0.052795798,-0.010361612,-0.24238703,-0.06183656,-0.025567248,-0.031614814
Graphic Designer,-0.11091311,0.047202896,-0.016090441,0.01886981,-0.008642598,0.011448782,-0.0020058267,0.08729586,-0.028223906,0.0074873995,0.050436668,0.015273871,-0.01867467,0.045683093,0.03156277,-0.013425985
Reporter,-0.122292556,0.111322716,-0.04447336,0.09695813,-0.0032587482,0.0025566171,-0.016249917,0.09783216,-0.051375657,0.03848404,0.10766127,0.036598135,-0.07400829,0.09132991,0.094251,-0.048571613
Electrician,-0.1665675,-0.007942296,0.031147098,-0.07172767,-0.005829021,0.06923189,0.038320716,0.14578658,-0.071860984,0.02852581,-0.0060415403,0.0070367386,0.13360235,0.051327754,0.00065090065,0.026901552
